COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
2,4-D	2010	01	001	2482.4	2490.3
2,4-D	2010	01	003	4432.5	5190.6
2,4-D	2010	01	005	1546.7	1616.3
2,4-D	2010	01	007	21.3	30.5
2,4-D	2010	01	009	5400.4	5486.2
2,4-D	2010	01	011	2198.8	2203.6
2,4-D	2010	01	013	2650.7	2766.4
2,4-D	2010	01	015	2139.2	2261.2
2,4-D	2010	01	017	81.3	96.1
2,4-D	2010	01	019	2707.5	3189.1
2,4-D	2010	01	021	87.1	381.7
2,4-D	2010	01	023	1528.8	1535
2,4-D	2010	01	025	1409.5	1416.9
2,4-D	2010	01	027	66.2	69.7
2,4-D	2010	01	029	1595	1606.6
2,4-D	2010	01	031	2563.1	2650.9
2,4-D	2010	01	033	7343.1	8073.5
2,4-D	2010	01	035	2496.7	2595.5
2,4-D	2010	01	037	25.9	26.7
2,4-D	2010	01	039	1865.5	1918.6
2,4-D	2010	01	041	1254.2	1276.3
2,4-D	2010	01	043	7152.2	7381.3
2,4-D	2010	01	045	1586.2	1615.9
2,4-D	2010	01	047	4590.7	4597
2,4-D	2010	01	049	7390.7	7948.3
2,4-D	2010	01	051	2719.9	2727.6
2,4-D	2010	01	053	2681.5	2942.6
2,4-D	2010	01	055	2990.8	3139.2
2,4-D	2010	01	057	144.8	351.3
2,4-D	2010	01	059	10281.9	10376.3
2,4-D	2010	01	061	3170	3257.7
2,4-D	2010	01	063	1825.3	1827.5
2,4-D	2010	01	065	3594.8	3597.5
2,4-D	2010	01	067	2182.5	2235
2,4-D	2010	01	069	3162.1	3276.3
2,4-D	2010	01	071	5377.7	6498.6
2,4-D	2010	01	073	30	38
2,4-D	2010	01	075	34.2	74.3
2,4-D	2010	01	077	12362.8	13606.3
2,4-D	2010	01	079	11588.6	12830.1
2,4-D	2010	01	081	86.1	161.9
2,4-D	2010	01	083	10140.9	11741.2
2,4-D	2010	01	085	5506.8	5522.3
2,4-D	2010	01	087	1793.1	1808.2
2,4-D	2010	01	089	7702.4	9678.8
2,4-D	2010	01	091	3391.8	3393.4
2,4-D	2010	01	093	6163	6237.5
2,4-D	2010	01	095	5162.2	5373.3
2,4-D	2010	01	097	3247.3	3452.8
2,4-D	2010	01	099	2709.8	2900.6
2,4-D	2010	01	101	5562	5577.5
2,4-D	2010	01	103	9991.7	10214.3
2,4-D	2010	01	105	3001	3004.3
2,4-D	2010	01	107	93.2	286.2
2,4-D	2010	01	109	1810.2	1854.7
2,4-D	2010	01	111	95.7	118.2
2,4-D	2010	01	113	832.5	850.8
2,4-D	2010	01	115	2030.6	2036.9
2,4-D	2010	01	117	129.4	200.1
2,4-D	2010	01	119	3566.6	3568
2,4-D	2010	01	121	203.5	614.9
2,4-D	2010	01	123	63	80.2
2,4-D	2010	01	125	113.2	275.6
2,4-D	2010	01	127	40.4	63.9
2,4-D	2010	01	129	2281.6	2334.2
2,4-D	2010	01	131	3978.3	4046
2,4-D	2010	01	133	4424.2	4426.5
2,4-D	2010	04	001	4080.7	4081.3
2,4-D	2010	04	003	2389.4	2802.5
2,4-D	2010	04	005	7672.6	7672.8
2,4-D	2010	04	007	21.4	21.5
2,4-D	2010	04	009	3126.8	3503.2
2,4-D	2010	04	011	247.7	247.7
2,4-D	2010	04	012	18201.9	18414.4
2,4-D	2010	04	013	1013.8	2817.9
2,4-D	2010	04	015	1326.6	1331.5
2,4-D	2010	04	017	2336.6	2337.5
2,4-D	2010	04	019	243.1	548.5
2,4-D	2010	04	021	2734.8	4758
2,4-D	2010	04	023	439.4	445.7
2,4-D	2010	04	025	960.6	961.8
2,4-D	2010	04	027	227.6	2035.8
2,4-D	2010	05	001	5966.7	6867.6
2,4-D	2010	05	003	1126.1	10857
2,4-D	2010	05	005	4054.6	4054.6
2,4-D	2010	05	007	11953.4	11953.4
2,4-D	2010	05	009	11684.5	11684.5
2,4-D	2010	05	011	2435.9	2435.9
2,4-D	2010	05	013	1654.3	1654.3
2,4-D	2010	05	015	11498.1	11498.1
2,4-D	2010	05	017	2637.7	28953.6
2,4-D	2010	05	019	9688.4	11152.8
2,4-D	2010	05	021	4843	4843
2,4-D	2010	05	023	5207.4	5206.8
